Image_Index, Avg_Start_Offset, Avg_End_Offset
264, 1.865, 5.882
265, 1.817, 1.868
266, 1.406, 2.237
267, 3.446, 2.529
268, 9.262, 8.712
269, 2.371, 1.350
270, 3.863, 29.918
271, 3.782, 0.957
272, 12.638, 1.296
273, 2.413, 2.133
274, 110.010, 3.460
275, 6.889, 13.209
276, 1.404, 15.710
277, 6.791, 15.018
278, 5.240, 2.090
279, 1.503, 1.029
280, 0.501, 1.853
281, 1.385, 1.299
282, 6.973, 3.891
283, 0.519, 2.369
284, 1.079, 0.615
285, 1.555, 0.951
286, 0.515, 1.339
287, 0.552, 1.809
288, 1.180, 0.915
289, 2.124, 1.555
290, 2.317, 0.969
291, 1.901, 2.572
292, 1.247, 0.952
293, 0.525, 2.053
294, 2.211, 0.423
295, 1.754, 0.737
296, 0.515, 2.253
297, 0.450, 2.149
298, 2.358, 0.674
299, 1.771, 0.594
300, 1.119, 1.873
301, 0.403, 0.409
302, 0.408, 0.350
303, 0.467, 0.432
304, 0.768, 1.886
305, 0.882, 1.208
306, 1.566, 0.716
307, 0.590, 1.308
308, 1.231, 0.588
309, 0.831, 1.753
310, 1.534, 0.698
311, 0.608, 1.690
312, 0.606, 2.102
313, 1.837, 0.751
314, 3.050, 0.652
315, 0.529, 1.848
316, 0.493, 2.001
317, 2.104, 0.555
318, 1.547, 0.912
319, 0.843, 2.393
320, 1.782, 0.900
321, 0.750, 1.593
322, 0.617, 2.142
323, 2.268, 0.712
324, 1.418, 1.540
325, 1.409, 1.531
326, 1.415, 1.750
327, 1.339, 1.529
328, 1.149, 0.679
329, 0.612, 1.058
330, 1.269, 0.776
331, 130.364, 58.320
332, 1.023, 0.604
333, 37.613, 26.852
334, 24.980, 24.777
335, 0.539, 1.769
336, 6.451, 39.390
337, 72.760, 7.458
338, 0.538, 1.227
339, 18.470, 80.362
340, 98.363, 52.910
341, 1.945, 0.481
342, 45.936, 92.998
343, 0.959, 1.077
344, 0.982, 0.381
345, 0.937, 3.342
346, 0.773, 0.446
347, 0.372, 1.309
348, 3.381, 3.896
349, 1.534, 1.790
350, 0.839, 1.707
351, 1.153, 0.667
352, 1.611, 1.806
353, 1.193, 2.244
354, 1.204, 0.562
355, 0.754, 2.855
356, 1.837, 0.742
357, 1.942, 1.344
358, 1.145, 1.615
359, 0.798, 1.990
360, 2.062, 0.952
361, 7.195, 5.554
362, 3.207, 1.772
363, 2.975, 1.315
364, 43.486, 26.060
365, 29.785, 55.485
366, 1.583, 0.392
367, 28.929, 3.768
368, 19.293, 42.669
369, 1.370, 3.081
370, 2.175, 2.071
371, 1.519, 7.495
372, 0.851, 1.512
373, 4.573, 1.418
374, 3.741, 1.794
375, 0.974, 1.959
376, 3.763, 2.254
377, 0.727, 3.001
378, 1.342, 1.828
379, 0.791, 3.826
380, 1.882, 1.682
381, 1.677, 2.258
382, 2.247, 0.639
383, 2.722, 0.768
384, 0.544, 2.464
385, 6.060, 3.141
386, 1.310, 1.013
387, 1.116, 1.968
388, 0.776, 0.620
389, 5.409, 1.840
390, 0.634, 0.773
391, 1.170, 1.111
392, 0.710, 0.622
393, 0.859, 0.632
394, 1.127, 0.684
395, 0.444, 0.727
396, 2.292, 2.095
397, 1.927, 1.010
398, 0.602, 0.768
399, 3.200, 1.811
400, 1.380, 0.781
401, 3.482, 1.388
402, 2.971, 0.720
403, 0.896, 1.113
404, 3.542, 0.762
405, 0.649, 0.935
406, 0.677, 0.840
407, 0.549, 0.942
408, 0.592, 0.726
409, 4.024, 1.884
410, 4.633, 2.123
411, 3.084, 21.558
412, 5.312, 1.686
413, 4.501, 1.972
414, 9.224, 3.364
415, 1.718, 2.252
416, 1.102, 3.000
417, 3.191, 1.542
418, 0.568, 2.536
419, 4.687, 0.947
420, 1.847, 0.811
421, 1.033, 2.865
422, 2.305, 0.883
423, 0.765, 1.714
424, 1.293, 1.100
425, 1.498, 1.150
426, 0.698, 2.933
427, 1.870, 0.822
428, 2.769, 0.535
429, 0.615, 2.409
430, 3.517, 14.948
431, 31.689, 22.069
432, 17.694, 60.345
433, 14.022, 10.143
434, 5.876, 24.368
435, 10.812, 21.672
436, 16.243, 9.045
437, 2.517, 5.196
438, 9.377, 8.309
439, 3.566, 23.782
440, 5.656, 15.752
441, 15.868, 23.515
442, 25.460, 8.512
443, 10.965, 10.094
444, 8.212, 1.867
445, 2.939, 3.319
446, 3.303, 12.263
447, 10.818, 16.012
448, 27.952, 13.945
449, 83.563, 10.426
450, 21.843, 4.264
451, 3.455, 7.030
452, 14.450, 10.925
453, 14.285, 5.059
454, 2.366, 3.274
455, 16.231, 18.290
456, 7.788, 4.173
457, 60.901, 34.992
458, 33.196, 12.088
459, 5.938, 6.144
460, 20.308, 5.665
461, 24.307, 10.371
462, 19.463, 12.745
463, 8.598, 7.583
464, 11.779, 21.542
465, 23.085, 29.804
466, 7.459, 14.464
467, 30.335, 12.199
468, 38.171, 6.848
469, 11.212, 5.064
