Image_Index, Avg_Start_Offset, Avg_End_Offset
126, 51.94, 38.53, 13.41, 90.46
127, 7.02, 10.96, -3.94, 17.98
128, 7.48, 13.15, -5.67, 20.62
129, 5.52, 10.89, -5.37, 16.40
130, 4.13, 8.67, -4.54, 12.80
131, 14.27, 24.29, -10.03, 38.56
132, 2.90, 3.29, -0.39, 6.20
133, 4.24, 4.13, 0.11, 8.36
134, 8.27, 11.70, -3.43, 19.97
135, 8.63, 10.92, -2.29, 19.55
136, 3.08, 2.80, 0.28, 5.89
137, 1.15, 2.83, -1.68, 3.98
138, 0.81, 1.59, -0.78, 2.40
139, 0.60, 1.11, -0.51, 1.71
140, 20.28, 35.49, -15.20, 55.77
141, 1.26, 5.86, -4.60, 7.11
142, 7.19, 10.60, -3.41, 17.80
143, 0.73, 2.09, -1.36, 2.82
144, 6.19, 26.21, -20.02, 32.40
145, 15.72, 35.70, -19.98, 51.42
146, 22.86, 52.54, -29.69, 75.40
147, 6.27, 14.54, -8.27, 20.81
148, 4.78, 13.36, -8.57, 18.14
149, 6.79, 12.02, -5.23, 18.82
150, 4.52, 9.99, -5.47, 14.51
151, 4.48, 8.80, -4.32, 13.28
152, 3.34, 3.96, -0.62, 7.30
153, 7.30, 19.54, -12.24, 26.84
154, 2.68, 3.91, -1.23, 6.58
155, 3.35, 7.25, -3.89, 10.60
156, 3.98, 5.36, -1.38, 9.34
157, 7.17, 19.23, -12.06, 26.40
158, 3.42, 7.12, -3.70, 10.54
159, 90.44, 107.52, -17.08, 197.97
160, 9.32, 26.25, -16.92, 35.57
161, 9.73, 14.62, -4.90, 24.35
162, 29.99, 33.53, -3.53, 63.52
163, 61.88, 70.20, -8.32, 132.08
164, 5.01, 3.90, 1.12, 8.91
165, 18.51, 14.23, 4.28, 32.74
166, 17.03, 29.54, -12.51, 46.57
167, 51.83, 56.68, -4.85, 108.51
168, 1.76, 1.91, -0.15, 3.67
169, 15.35, 32.06, -16.70, 47.41
170, 20.79, 53.33, -32.54, 74.12
171, 6.21, 12.82, -6.61, 19.03
172, 19.67, 25.01, -5.35, 44.68
173, 29.40, 63.93, -34.52, 93.33
174, 18.87, 32.95, -14.09, 51.82
175, 18.65, 14.39, 4.26, 33.04
176, 7.92, 15.19, -7.27, 23.11
177, 21.53, 28.56, -7.03, 50.09
178, 8.92, 10.12, -1.19, 19.04
179, 21.00, 21.31, -0.30, 42.31
180, 30.95, 31.89, -0.94, 62.84
181, 8.56, 10.89, -2.34, 19.45
182, 20.76, 20.28, 0.48, 41.04
183, 29.45, 31.81, -2.36, 61.25
184, 8.60, 19.37, -10.77, 27.97
185, 51.51, 59.54, -8.03, 111.05
186, 4.04, 3.62, 0.43, 7.66
187, 27.96, 30.23, -2.27, 58.19
188, 5.55, 7.97, -2.42, 13.52
189, 64.19, 63.91, 0.28, 128.11
190, 6.25, 10.95, -4.70, 17.20
191, 27.40, 51.08, -23.68, 78.48
192, 56.89, 53.00, 3.89, 109.89
193, 2.32, 2.89, -0.58, 5.21
194, 8.42, 12.06, -3.64, 20.48
195, 67.34, 62.63, 4.71, 129.98
196, 4.93, 9.80, -4.87, 14.73
197, 18.01, 37.81, -19.81, 55.82
198, 45.60, 41.98, 3.62, 87.58
199, 1.77, 1.87, -0.11, 3.64
200, 4.24, 9.47, -5.23, 13.70
201, 31.18, 25.49, 5.69, 56.67
202, 9.61, 16.14, -6.53, 25.75
203, 3.92, 4.71, -0.79, 8.63
204, 5.69, 13.36, -7.67, 19.04
205, 3.58, 5.94, -2.36, 9.52
206, 14.28, 27.96, -13.68, 42.24
207, 13.16, 19.78, -6.63, 32.94
208, 19.43, 26.40, -6.97, 45.83
209, 15.35, 26.71, -11.37, 42.06
210, 23.26, 29.08, -5.82, 52.33
211, 23.59, 58.11, -34.52, 81.70
212, 6.89, 16.27, -9.38, 23.16
213, 23.44, 36.08, -12.64, 59.52
214, 24.40, 28.94, -4.53, 53.34
215, 9.12, 13.64, -4.52, 22.75
216, 7.76, 11.84, -4.07, 19.60
217, 26.56, 40.81, -14.25, 67.37
218, 4.17, 16.11, -11.94, 20.28
219, 31.45, 61.90, -30.45, 93.34
220, 2.17, 12.68, -10.51, 14.85
221, 10.48, 37.22, -26.74, 47.71
222, 6.31, 6.83, -0.52, 13.15
223, 3.43, 8.70, -5.27, 12.13
224, 6.54, 16.99, -10.45, 23.53
225, 7.92, 20.10, -12.18, 28.01
226, 3.10, 10.97, -7.87, 14.07
227, 9.60, 33.20, -23.60, 42.80
228, 2.38, 4.32, -1.93, 6.70
229, 3.50, 3.78, -0.28, 7.27
230, 12.46, 20.05, -7.59, 32.51
231, 14.58, 27.08, -12.50, 41.65
232, 8.58, 19.40, -10.82, 27.97
233, 4.09, 4.33, -0.23, 8.42
234, 12.15, 19.06, -6.92, 31.21
235, 10.25, 27.22, -16.98, 37.47
236, 2.06, 2.68, -0.62, 4.74
237, 32.61, 56.14, -23.54, 88.75
238, 20.45, 38.09, -17.64, 58.54
239, 8.69, 12.96, -4.27, 21.64
240, 12.79, 19.61, -6.83, 32.40
241, 14.95, 30.81, -15.86, 45.76
242, 13.06, 12.99, 0.07, 26.05
243, 2.23, 2.54, -0.32, 4.77
244, 60.10, 70.34, -10.24, 130.44
245, 2.38, 3.95, -1.57, 6.33
246, 14.54, 25.39, -10.85, 39.93
247, 8.13, 22.78, -14.65, 30.91
248, 51.79, 52.61, -0.82, 104.40
249, 34.51, 63.39, -28.88, 97.90
250, 3.36, 6.17, -2.80, 9.53
251, 73.92, 73.81, 0.12, 147.73
252, 8.05, 15.05, -7.00, 23.10
253, 2.37, 2.12, 0.25, 4.48
254, 11.70, 18.55, -6.85, 30.25
255, 6.96, 13.55, -6.59, 20.51
256, 8.48, 9.74, -1.26, 18.23
257, 2.57, 4.88, -2.31, 7.45
258, 16.93, 30.20, -13.26, 47.13
259, 2.84, 10.59, -7.75, 13.42
260, 2.13, 2.19, -0.06, 4.32
261, 3.95, 14.47, -10.52, 18.41
262, 11.72, 24.54, -12.82, 36.26
263, 4.24, 17.78, -13.54, 22.02
264, 9.70, 13.84, -4.15, 23.54
265, 7.31, 15.99, -8.68, 23.31
266, 5.80, 21.57, -15.77, 27.38
267, 5.32, 22.43, -17.11, 27.75
268, 3.28, 11.57, -8.29, 14.84
269, 3.54, 21.74, -18.20, 25.28
270, 10.98, 23.81, -12.83, 34.79
271, 2.86, 12.33, -9.48, 15.19
272, 2.00, 4.79, -2.79, 6.78
273, 33.17, 62.21, -29.05, 95.38
274, 1.51, 2.08, -0.57, 3.58
275, 14.39, 23.22, -8.83, 37.61
276, 3.26, 12.61, -9.35, 15.87
277, 19.54, 22.90, -3.36, 42.44
278, 8.91, 22.97, -14.06, 31.88
279, 13.76, 12.07, 1.68, 25.83
280, 0.95, 3.30, -2.35, 4.26
281, 0.85, 2.50, -1.65, 3.35
282, 0.72, 2.18, -1.46, 2.91
283, 1.93, 4.53, -2.61, 6.46
284, 2.89, 13.16, -10.27, 16.05
285, 6.93, 13.77, -6.84, 20.69
286, 1.60, 1.98, -0.38, 3.58
287, 3.57, 9.60, -6.03, 13.16
288, 1.42, 1.28, 0.14, 2.69
289, 9.93, 25.08, -15.15, 35.02
290, 1.91, 3.87, -1.96, 5.78
291, 6.46, 14.20, -7.73, 20.66
292, 1.42, 1.59, -0.17, 3.01
293, 6.21, 7.73, -1.52, 13.94
294, 1.29, 1.26, 0.03, 2.55
295, 30.53, 38.81, -8.28, 69.34
296, 1.20, 1.30, -0.10, 2.50
297, 5.18, 12.44, -7.25, 17.62
298, 3.99, 7.87, -3.88, 11.86
299, 13.31, 36.07, -22.75, 49.38
300, 1.76, 2.59, -0.83, 4.36
301, 6.43, 15.29, -8.87, 21.72
302, 2.42, 4.71, -2.30, 7.13
303, 5.91, 14.40, -8.50, 20.31
304, 2.09, 5.36, -3.27, 7.44
305, 6.65, 16.61, -9.97, 23.26
306, 1.43, 2.05, -0.63, 3.48
307, 1.24, 2.39, -1.15, 3.63
308, 1.34, 3.32, -1.98, 4.66
309, 0.89, 1.74, -0.85, 2.63
310, 18.85, 23.50, -4.65, 42.35
311, 10.05, 23.37, -13.33, 33.42
312, 2.09, 3.61, -1.52, 5.70
313, 88.92, 69.62, 19.30, 158.54
314, 5.78, 16.10, -10.32, 21.89
315, 3.34, 8.61, -5.27, 11.96
316, 24.72, 36.57, -11.85, 61.29
317, 5.70, 14.36, -8.65, 20.06
318, 1.60, 2.32, -0.72, 3.92
319, 22.75, 27.14, -4.39, 49.89
320, 17.50, 24.31, -6.81, 41.80
321, 1.28, 2.08, -0.80, 3.37
322, 6.40, 16.38, -9.98, 22.78
323, 3.43, 9.07, -5.64, 12.51
324, 8.02, 17.47, -9.46, 25.49
325, 19.42, 52.71, -33.29, 72.13
326, 3.29, 7.86, -4.57, 11.14
327, 5.73, 12.52, -6.80, 18.25
328, 9.74, 37.99, -28.26, 47.73
329, 4.96, 20.49, -15.53, 25.45
330, 1.69, 6.64, -4.96, 8.33
331, 56.82, 79.89, -23.07, 136.71
332, 7.85, 14.10, -6.25, 21.96
333, 2.81, 4.84, -2.03, 7.65
334, 12.25, 20.55, -8.30, 32.80
